ticker,date,period_ending,estimate,reported,surprise,surprise%,group
A,2021-05-25,21-Apr,0.82,0.97,0.15,18.29,2
AA,2021-04-15,21-Mar,0.48,0.79,0.31,64.58,1
AAL,2021-04-22,21-Mar,-4.35,-4.32,0.03,0.69,3
AAP,2021-06-02,21-Mar,3.08,3.34,0.26,8.44,2
AAPL,2021-04-28,21-Mar,1,1.4,0.4,40,1
ABBV,2021-04-30,21-Mar,2.77,2.95,0.18,6.5,2
ABC,2021-05-05,21-Mar,2.51,2.53,0.02,0.8,3
ABMD,2021-04-29,21-Mar,1.1,1.24,0.14,12.73,2
ABT,2021-04-20,21-Mar,1.33,1.32,-0.01,-0.75,3
ACC,2021-04-19,21-Mar,0.56,0.11,-0.45,-80.36,3
ACGL,2021-04-27,21-Mar,0.5,0.59,0.09,18,2
ACHC,2021-04-29,21-Mar,0.45,0.47,0.02,4.44,3
ACI,2021-04-26,21-Feb,0.5,0.6,0.1,20,2
ACM,2021-05-10,21-Mar,0.63,0.67,0.04,6.35,2
ACN,2021-03-18,21-Feb,1.9,2.03,0.13,6.84,2
ADBE,2021-03-23,21-Feb,2.79,3.14,0.35,12.54,2
ADI,2021-05-19,21-Apr,1.45,1.54,0.09,6.21,2
ADM,2021-04-27,21-Mar,1,1.39,0.39,39,1
ADP,2021-04-28,21-Mar,1.82,1.89,0.07,3.85,3
ADPT,2021-05-05,21-Mar,-0.41,-0.29,0.12,29.27,1
ADS,2021-04-29,21-Mar,3.23,6.28,3.05,94.43,1
ADSK,2021-05-27,21-Apr,0.94,1.03,0.09,9.57,2
ADT,2021-05-05,21-Mar,0.15,-0.07,-0.22,-146.67,3
AEE,2021-05-10,21-Mar,0.79,0.91,0.12,15.19,2
AEP,2021-04-22,21-Mar,1.23,1.15,-0.08,-6.5,3
AES,2021-05-06,21-Mar,0.3,0.28,-0.02,-6.67,3
AFG,2021-05-04,21-Mar,1.74,2.38,0.64,36.78,1
AFL,2021-04-28,21-Mar,1.2,1.53,0.33,27.5,1
AGCO,2021-04-29,21-Mar,1.11,2,0.89,80.18,1
AGL,2021-05-26,21-Mar,-0.04,-0.04,0,0,3
AGNC,2021-04-26,21-Mar,0.64,0.76,0.12,18.75,2
AGR,2021-05-03,21-Mar,0.78,1.14,0.36,46.15,1
AI,2021-06-02,21-Apr,-0.29,-0.24,0.05,17.24,2
AIG,2021-05-06,21-Mar,0.99,1.05,0.06,6.06,2
AIZ,2021-05-04,21-Mar,1.96,2.47,0.51,26.02,1
